FIRST_DIST,FIRST_GaPa,HRRP_Palika_Code,Total_Beneficiary,First_Tranche,First_Tranche_Percent,Second_Tranche,Second_Tranche_Percent,Third_Tranche,Third_Tranche_Percent
Gorkha,Bhimsen Gaunpalika,36003,"6,822","6,822",100%,"6,501",95%,"5,509",81%
Gorkha,Chum Nubri Gaunpalika,36004,"2,114","2,114",100%,"1,884",89%,"1,789",85%
Gorkha,Dharche Gaunpalika,36005,"3,469","3,469",100%,"2,970",86%,"2,909",84%
Gorkha,Gandaki Gaunpalika,36006,"5,085","5,085",100%,"4,619",91%,"3,942",78%
Gorkha,Gorkha Nagarpalika,36007,"10,096","10,096",100%,"8,649",86%,"8,314",82%
Gorkha,Palungtar Nagarpalika,36008,"9,208","9,208",100%,"7,926",86%,"7,421",81%
Gorkha,Sahid Lakhan Gaunpalika,36009,"6,889","6,889",100%,"5,879",85%,"5,505",80%
Gorkha,Siranchok Gaunpalika,36010,"6,452","6,452",100%,"5,685",88%,"5,452",85%
Gorkha,Sulikot Gaunpalika,36011,"7,035","7,035",100%,"6,790",97%,"6,675",95%
Gulmi,Chandrakot Gaunpalika,46001,238,222,93%,125,53%,118,50%
Gulmi,Chatrakot Gaunpalika,46002,430,220,51%,167,39%,122,28%
Gulmi,Dhurkot Gaunpalika,46003,510,510,100%,380,75%,256,50%
Gulmi,Gulmidarbar Gaunpalika,46004,192,192,100%,145,76%,76,40%
Gulmi,Isma Gaunpalika,46005,131,131,100%,92,70%,51,39%
Gulmi,Kaligandaki Gaunpalika,46006,"1,121","1,121",100%,944,84%,784,70%
Gulmi,Madane Gaunpalika,46007,172,172,100%,125,73%,86,50%
Gulmi,Malika Gaunpalika,46008,73,73,100%,68,93%,53,73%
Gulmi,Musikot Nagarpalika,46009,719,719,100%,501,70%,420,58%
Gulmi,Resunga Nagarpalika,46010,223,223,100%,179,80%,111,50%
Gulmi,Ruru Gaunpalika,46011,282,282,100%,228,81%,205,73%
Gulmi,Satyawati Gaunpalika,46012,546,456,84%,351,64%,307,56%
Kaski,Annapurna Gaunpalika,40001,419,419,100%,274,65%,237,57%
Kaski,Machhapuchchhre Gaunpalika,40002,461,461,100%,372,81%,316,69%
Kaski,Madi Gaunpalika,40003,"1,155","1,155",100%,729,63%,528,46%
Kaski,Pokhara Lekhnath Mahanagarpalika,40004,"2,904","2,904",100%,"1,687",58%,"1,384",48%
Kaski,Rupa Gaunpalika,40005,"1,326","1,326",100%,894,67%,661,50%
Kathmandu,Budhanilakantha Nagarpalika,27001,"2,143","2,143",100%,"1,195",56%,"1,027",48%
Kathmandu,Chandragiri Nagarpalika,27002,"4,945","4,945",100%,"2,232",45%,"1,856",38%
Kathmandu,Dakshinkali Nagarpalika,27003,"3,822","3,822",100%,"2,012",53%,"1,700",44%
Kathmandu,Gokarneshwor Nagarpalika,27004,"2,701","2,701",100%,"1,856",69%,"1,608",60%
Kathmandu,Kageshwori Manohara Nagarpalika,27005,"3,465","3,465",100%,"2,115",61%,"1,608",46%
Kathmandu,Kathmandu Mahanagarpalika,27006,"6,177","6,177",100%,"1,776",29%,"1,540",25%
Kathmandu,Kirtipur Nagarpalika,27007,"2,570","2,570",100%,"1,080",42%,959,37%
Kathmandu,Nagarjun Nagarpalika,27008,"4,175","4,175",100%,"1,803",43%,"1,597",38%
Kathmandu,Shankharapur Nagarpalika,27009,"5,672","5,672",100%,"3,752",66%,"3,009",53%
