District	Municipality	Ward	Partner Organization	Implementing Partner	Funding Organisation	Sector	Activity Type	Name of the Infrastructure	Activity Detail	Curriculum (for Trainings)	Activity Status	Unit (Indicator)	Planned#	Reached#	GaNaPa_Code	GaPaN_Ward_Code
Bhaktapur	Changunarayan	8	DCA		FSCN	Disaster Risk Management	Capacity building - Strengthen preparedness/information coordination		Establishment of DRR and climate change learning centre			individuals	120		26002	26002-8
Bhaktapur	Changunarayan	8	DCA		FSCN	Rural Housing and Community Infrastructure	Support - Production of IEC Materials		Printing of IEC Materials			copies	100		26002	26002-8
Bhaktapur	Changunarayan	5	DCA		FSCN	Rural Housing and Community Infrastructure	Support - Production of IEC Materials		Printing of IEC Materials			copies	100		26002	26002-5
Bhaktapur	Changunarayan	4	DCA		FSCN	Rural Housing and Community Infrastructure	Support - Production of IEC Materials		Printing of IEC Materials			copies	100		26002	26002-4
Bhaktapur	Changunarayan	8	DCA		FSCN	"Water, Sanitation and Hygiene"	Reconstruction - Toilet		Construction and material support to construct HHs toilet			households	100		26002	26002-8
Bhaktapur	Changunarayan	4	DCA		FSCN	"Water, Sanitation and Hygiene"	Reconstruction - Toilet		Construction and material support to construct HHs toilet			households	100		26002	26002-4
Bhaktapur	Changunarayan	4	DCA		FSCN	"Water, Sanitation and Hygiene"	Promotion - Hygiene and Sanitation Promotion		ToT and community orientation on hygiene promotion			households	100		26002	26002-4
Bhaktapur	Changunarayan	8	DCA		FSCN	Disaster Risk Management	"Awareness - Earthquake Risk Reduction, recovery preparedness"		Mobilization of youth volunteers for IEC			individuals	100		26002	26002-8
Bhaktapur	Changunarayan	8	DCA		FSCN	Employment and Livelihood	Capacity building - Entrepreneurship trainings orientations		business skill training	Other (specify in Comments)		individuals	80		26002	26002-8
Bhaktapur	Changunarayan	8	DCA		FSCN	Employment and Livelihood	Support - Financial support for livelihood activities		livelihood grant for earthquake affected people through local financial institutions			individuals	80		26002	26002-8
Bhaktapur	Changunarayan	8	DCA		FSCN	Employment and Livelihood	Capacity building - Skill development trainings		Sectoral Agriculture and Livestock Training			individuals	80		26002	26002-8
Bhaktapur	Changunarayan	8	DCA		FSCN	Disaster Risk Management	Awareness - Enhancement of Risk information dissemination		Joint orientation on HVCA and SBDRMP			households	60		26002	26002-8
Bhaktapur	Changunarayan	8	DCA		FSCN	"Water, Sanitation and Hygiene"	Reconstruction - Water supply mechanisms	Simachaur WSS	Construct/Repair waterschemes			households	55		26002	26002-8
Bhaktapur	Changunarayan	8	DCA		FSCN	"Water, Sanitation and Hygiene"	Promotion - Hygiene and Sanitation Promotion		Response to water borne diseases			households	50		26002	26002-8
Bhaktapur	Changunarayan	5	DCA		FSCN	"Water, Sanitation and Hygiene"	Promotion - Hygiene and Sanitation Promotion		ToT and community orientation on hygiene promotion			households	50		26002	26002-5
Bhaktapur	Changunarayan	5	DCA		FSCN	"Water, Sanitation and Hygiene"	Promotion - Hygiene and Sanitation Promotion		Response to water borne diseases			households	50		26002	26002-5
Bhaktapur	Changunarayan	4	DCA		FSCN	"Water, Sanitation and Hygiene"	Promotion - Hygiene and Sanitation Promotion		Response to water borne diseases			households	50		26002	26002-4
Bhaktapur	Changunarayan	8	DCA		FSCN	Disaster Risk Management	Capacity building - Strengthen preparedness/information coordination		Extra curricular on DRR at schools			individuals	50		26002	26002-8
Bhaktapur	Changunarayan	5	DCA		FSCN	Employment and Livelihood	Support - Financial support for livelihood activities		livelihood grant for earthquake affected people through local financial institutions			individuals	50		26002	26002-5
Bhaktapur	Changunarayan	9	OXFAM-GB		OXFAM-GB	Rural Housing and Community Infrastructure	Orientation - Community reconstruction orientation	1 session	2-3 Hours session		Completed	individuals	30	20	26002	26002-9
Bhaktapur	Changunarayan	7	OXFAM-GB		OXFAM-GB	Rural Housing and Community Infrastructure	Orientation - Community reconstruction orientation	1 session	2-3 Hours session		Completed	individuals	30	35	26002	26002-7
Bhaktapur	Changunarayan	6	OXFAM-GB		OXFAM-GB	Rural Housing and Community Infrastructure	Orientation - Community reconstruction orientation	1 session	2-3 Hours session		Completed	individuals	30	46	26002	26002-6
Bhaktapur	Changunarayan	6	OXFAM-GB		OXFAM-GB	Rural Housing and Community Infrastructure	Orientation - Community reconstruction orientation	1 session	2-3 Hours session		Completed	individuals	30	34	26002	26002-6
Bhaktapur	Changunarayan	6	OXFAM-GB		OXFAM-GB	Rural Housing and Community Infrastructure	Orientation - Community reconstruction orientation	1 session	2-3 Hours session		Completed	individuals	30	72	26002	26002-6
Bhaktapur	Changunarayan	6	OXFAM-GB		OXFAM-GB	Rural Housing and Community Infrastructure	Orientation - Community reconstruction orientation	1 session	2-3 Hours session		Completed	individuals	30	43	26002	26002-6
Bhaktapur	Changunarayan	6	OXFAM-GB		OXFAM-GB	Rural Housing and Community Infrastructure	Orientation - Community reconstruction orientation	1 session	2-3 Hours session		Completed	individuals	30	36	26002	26002-6
Bhaktapur	Changunarayan	5	GON		GON - DLPIU	Rural Housing and Community Infrastructure	Capacity building - Short training for mason	"Masons (7 days DUDBC, rural or urban)"			Completed	individuals	30	30	26002	26002-5
Bhaktapur	Changunarayan	5	GON		GON - DLPIU	Rural Housing and Community Infrastructure	Capacity building - Short training for mason	"Masons (7 days DUDBC, rural or urban)"			Completed	individuals	30	30	26002	26002-5
Bhaktapur	Changunarayan	8	DCA	FSCN	DCA	Disaster Risk Management	Awareness - Enhancement of Risk information dissemination		Orientation to communities on HVCA			households	30		26002	26002-8
Bhaktapur	Changunarayan	8	DCA	FSCN	DCA	Disaster Risk Management	Awareness - Enhancement of Risk information dissemination		Orientation on LDRMP to communities			households	30		26002	26002-8
Bhaktapur	Changunarayan	8	DCA	FSCN	DCA	Disaster Risk Management	"Awareness - Earthquake Risk Reduction, recovery preparedness"		"Orientation to SMc and teachers, child club"			individuals	30		26002	26002-8
Bhaktapur	Changunarayan	7	OXFAM-GB	ENPHO	OXFAM-GB	Rural Housing and Community Infrastructure	Capacity building - Short training for mason	"Masons (7 days DUDBC, rural or urban)"	"Tathali, Chagunarayan"		Completed	individuals	22	22	26002	26002-7
Bhaktapur	Changunarayan	8	DCA	FSCN	DCA	Disaster Risk Management	Capacity building - Strengthen preparedness/information coordination		Training on firstaid at school level			individuals	20		26002	26002-8
Bhaktapur	Changunarayan	8	DCA	FSCN	DCA	Disaster Risk Management	Capacity building - Search and Rescue		Training on LSAR at school level			individuals	20		26002	26002-8
Bhaktapur	Changunarayan	8	DCA	FSCN	DCA	Rural Housing and Community Infrastructure	Capacity building - Short training for mason		7 day mason training	DUDBC	Completed	individuals	20	20	26002	26002-8
