District,Municipality,Ward,Partner Organization,Funding Organisation,Sector,Activity Type,Activity Status,Unit (Indicator),Planned#,Reached#,GaNaPa_Code,GaPaN_Ward_Code,District_code
Chitawan,Rapti,11,Paribartan-N,Back to Life e V.,Education,Reconstruction - Classrooms,Completed,classrooms,4,4,35006,35006-11,35
Chitawan,Rapti,9,Paribartan-N,Back to Life e V.,Education,Reconstruction - Classrooms,Completed,classrooms,2,2,35006,35006-9,35
Nuwakot,Bidur,12,Paribartan-N,Back to Life e V.,Education,Reconstruction - Classrooms,Completed,classrooms,5,5,28002,28002-12,28
Nuwakot,Bidur,12,Paribartan-N,Back to Life e V.,Education,Reconstruction - Classrooms,Completed,classrooms,5,5,28002,28002-12,28
Nuwakot,Bidur,12,Paribartan-N,Back to Life e V.,Education,Reconstruction - Classrooms,Completed,classrooms,5,5,28002,28002-12,28
Nuwakot,Bidur,6,Paribartan-N,Back to Life e V.,Education,Reconstruction - Classrooms,Completed,classrooms,5,5,28002,28002-6,28
Nuwakot,Belkotgadhi,4,Paribartan-N,Back to Life e V.,Education,Reconstruction - Classrooms,Completed,classrooms,5,5,28001,28001-4,28
Nuwakot,Belkotgadhi,4,Paribartan-N,Back to Life e V.,Education,Reconstruction - Classrooms,Completed,classrooms,3,3,28001,28001-4,28
Ramechhap,Ramechhap,8,CFJ,CFJ,Education,Reconstruction - Classrooms,Completed,classrooms,2,2,21006,21006-8,21
Ramechhap,Ramechhap,5,CFJ,CFJ,Education,Reconstruction - Classrooms,Completed,classrooms,2,2,21006,21006-5,21
Sindhupalchok,Tripura Sundari,3,CFJ,CFJ,Education,Reconstruction - Classrooms,Completed,classrooms,7,7,23012,23012-3,23
Sindhupalchok,Tripura Sundari,5,CFJ,CFJ,Education,Reconstruction - Classrooms,Completed,classrooms,6,6,23012,23012-5,23
Sindhupalchok,Tripura Sundari,5,CFJ,CFJ,Education,Reconstruction - Classrooms,Completed,classrooms,2,2,23012,23012-5,23
Sindhupalchok,Sunkoshi,7,CFJ,CFJ,Education,Reconstruction - Classrooms,Completed,classrooms,3,3,23011,23011-7,23
Sindhupalchok,Sunkoshi,7,CFJ,CFJ,Education,Reconstruction - Classrooms,Completed,classrooms,5,5,23011,23011-7,23
Sindhupalchok,Lisangkhu Pakhar,6,CFJ,CFJ,Education,Reconstruction - Classrooms,Completed,classrooms,13,13,23008,23008-6,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Disaster Risk Management,Support - Integration of LDRMP and CDRMP into local development plans,,wards,1,,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Employment and Livelihood,Support - Livelihood support for Marginalized People,,households,,,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,"Water, Sanitation and Hygiene",Support - Material Support on Community WASH,Completed,units,26,26,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Employment and Livelihood,Support - Livelihood support for Marginalized People,,households,12,,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Reconstruction - Classrooms,Completed,classrooms,1,5,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Reconstruction - Classrooms,Completed,classrooms,1,1,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,"Water, Sanitation and Hygiene",Repair/Rehabilitation - Water supply mechanisms,Completed,households,18,18,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Reconstruction - Classrooms,Completed,classrooms,6,5,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Reconstruction - Classrooms,Completed,classrooms,6,8,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Reconstruction - Classrooms,Completed,classrooms,4,1,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH+Others,Education,Reconstruction - Classrooms,Completed,classrooms,4,3,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Reconstruction - Classrooms,Completed,classrooms,2,5,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH+Others,Education,Reconstruction - Classrooms,Completed,classrooms,2,1,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH+Others,Education,Reconstruction - Classrooms,Completed,classrooms,10,10,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Reconstruction - Classrooms,Completed,classrooms,8,8,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Reconstruction - Classrooms,Completed,classrooms,6,6,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Reconstruction - Classrooms,Completed,classrooms,6,6,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Support - Material support to Schools,Completed,units,18,159,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Support - Material support to Schools,Completed,units,34,15,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Support - Material support to Schools,Completed,units,32,31,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Support - Material support to Schools,Completed,units,32,19,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Support - Material support to Schools,Completed,units,28,92,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Support - Material support to Schools,Completed,units,26,31,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH+Others,Education,Support - Material support to Schools,Completed,units,24,10,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH+Others,Education,Support - Material support to Schools,Completed,units,22,25,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH+Others,Education,Support - Material support to Schools,Completed,units,18,27,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Support - Material support to Schools,Completed,units,16,50,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Employment and Livelihood,Support - Livelihood support for Marginalized People,Completed,households,11,458,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,"Water, Sanitation and Hygiene",Support - Material Support on Community WASH,Completed,units,252,252,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Employment and Livelihood,Support - Livelihood support for Marginalized People,Completed,households,8,11,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Employment and Livelihood,Support - Livelihood support for Marginalized People,Completed,households,7,78,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH+Others,Employment and Livelihood,Support - Livelihood support for Marginalized People,Completed,households,7,112,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH+Others,Employment and Livelihood,Support - Livelihood support for Marginalized People,Completed,households,6,573,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,"Water, Sanitation and Hygiene",Support - Material Support on Community WASH,Completed,units,68,68,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,"Water, Sanitation and Hygiene",Support - Material Support on Community WASH,Completed,units,37,37,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH+Others,"Water, Sanitation and Hygiene",Support - Material Support on Community WASH,Completed,units,42,42,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Employment and Livelihood,Support - Livelihood support for Marginalized People,Completed,households,5,240,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Employment and Livelihood,Support - Livelihood support for Marginalized People,Completed,households,5,55,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH+Others,Employment and Livelihood,Support - Livelihood support for Marginalized People,Completed,households,5,390,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Employment and Livelihood,Support - Livelihood support for Marginalized People,Completed,households,4,100,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,"Water, Sanitation and Hygiene",Support - Material Support on Community WASH,Completed,units,89,89,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,"Water, Sanitation and Hygiene",Support - Material Support on Community WASH,Completed,units,167,167,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH+Others,"Water, Sanitation and Hygiene",Support - Material Support on Community WASH,Completed,units,77,77,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH+Others,"Water, Sanitation and Hygiene",Support - Material Support on Community WASH,Completed,units,59,59,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,individuals,133,,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,individuals,133,,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,individuals,133,,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,individuals,133,,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,individuals,133,,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,individuals,133,,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,individuals,133,,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,individuals,133,,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,individuals,133,,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH,Rural Housing and Community Infrastructure,Support - Distribution of household toolkits,Completed,households,1789,1789,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,Ongoing,individuals,302,244,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,Ongoing,individuals,249,137,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,Ongoing,individuals,217,191,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,Ongoing,individuals,196,64,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,Ongoing,individuals,195,105,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,Ongoing,individuals,170,138,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,Completed,individuals,167,109,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,Ongoing,individuals,166,104,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH,Rural Housing and Community Infrastructure,NA,Completed,,1782,1782,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH,Rural Housing and Community Infrastructure,NA,Completed,,1335,1335,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,Ongoing,individuals,130,42,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH,Rural Housing and Community Infrastructure,NA,Completed,,12,4,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH,Rural Housing and Community Infrastructure,NA,Ongoing,,6,2,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH,Rural Housing and Community Infrastructure,Support - Distribution of builder toolkits,Completed,individuals,114,54,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,54,54,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Ongoing,individuals,45,10,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Ongoing,individuals,18,2,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Planned,constructions,7,0,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,Completed,individuals,2,2,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH,Rural Housing and Community Infrastructure,"Capacity building - ToT for engineers, sub engineers",Completed,individuals,2,2,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,individuals,1,,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,individuals,1,,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Completed,constructions,1,1,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Completed,constructions,1,1,23004,23004-13,23
Dhading,Nilakantha,6,ACTED,ACTED,NA-Others-Others-(Please specify in Activity Detail),NA,Completed,,25,24,30009,30009-6,30
Dhading,Nilakantha,8,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Support - In kind/material support on construction,Ongoing,households,15,0,30009,30009-8,30
Dhading,Nilakantha,9,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Support - In kind/material support on construction,Ongoing,households,20,0,30009,30009-9,30
Dhading,Dhunibesi,2,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,60,49,30002,30002-2,30
Dhading,Thakre,10,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,60,58,30012,30012-10,30
Dhading,Galchhi,8,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,31,31,30004,30004-8,30
Dhading,Dhunibesi,9,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,29,29,30002,30002-9,30
Dhading,Thakre,7,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,15,15,30012,30012-7,30
Dhading,Jwalamukhi,3,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,13,13,30006,30006-3,30
Dhading,Galchhi,2,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,12,12,30004,30004-2,30
Dhading,Galchhi,3,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,12,12,30004,30004-3,30
Dhading,Thakre,7,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,12,12,30012,30012-7,30
Dhading,Jwalamukhi,2,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,11,11,30006,30006-2,30
Dhading,Thakre,7,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,11,11,30012,30012-7,30
Dhading,Galchhi,2,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,10,10,30004,30004-2,30
Dhading,Nilakantha,5,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,9,9,30009,30009-5,30
Dhading,Dhunibesi,7,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,9,9,30002,30002-7,30
Dhading,Dhunibesi,7,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,9,9,30002,30002-7,30
Dhading,Galchhi,8,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,8,8,30004,30004-8,30
Dhading,Nilakantha,5,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,8,8,30009,30009-5,30
Dhading,Jwalamukhi,2,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,8,8,30006,30006-2,30
Dhading,Jwalamukhi,1,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,8,8,30006,30006-1,30
Dhading,Jwalamukhi,1,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,8,8,30006,30006-1,30
Dhading,Galchhi,1,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,7,7,30004,30004-1,30
Dhading,Galchhi,3,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,7,7,30004,30004-3,30
Dhading,Nilakantha,1,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,7,7,30009,30009-1,30
Dhading,Nilakantha,1,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,7,7,30009,30009-1,30
Dhading,Nilakantha,1,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,7,7,30009,30009-1,30
Dhading,Galchhi,8,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,6,6,30004,30004-8,30
Dhading,Nilakantha,5,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,6,6,30009,30009-5,30
Dhading,Nilakantha,5,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,6,6,30009,30009-5,30
Dhading,Nilakantha,5,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,6,6,30009,30009-5,30
Dhading,Dhunibesi,6,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,6,6,30002,30002-6,30
Dhading,Thakre,8,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,6,6,30012,30012-8,30
Dhading,Galchhi,8,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,5,5,30004,30004-8,30
Dhading,Galchhi,1,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,5,5,30004,30004-1,30
Dhading,Jwalamukhi,2,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,5,5,30006,30006-2,30
Dhading,Thakre,8,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,5,5,30012,30012-8,30
Dhading,Galchhi,8,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,4,4,30004,30004-8,30
Dhading,Jwalamukhi,3,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,4,4,30006,30006-3,30
Dhading,Jwalamukhi,3,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,4,4,30006,30006-3,30
Dhading,Siddhalek,7,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,8,8,30011,30011-7,30
Dhading,Siddhalek,6,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,7,7,30011,30011-6,30
Dhading,Siddhalek,7,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,7,7,30011,30011-7,30
Dhading,Siddhalek,7,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,7,7,30011,30011-7,30
Dhading,Siddhalek,5,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,7,7,30011,30011-5,30
Dhading,Siddhalek,5,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,6,6,30011,30011-5,30
Dhading,Siddhalek,6,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,6,6,30011,30011-6,30
Dhading,Siddhalek,5,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,6,6,30011,30011-5,30
Dhading,Siddhalek,6,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,5,5,30011,30011-6,30
Dhading,Galchhi,2,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,3,3,30004,30004-2,30
Dhading,Dhunibesi,8,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,3,3,30002,30002-8,30
Dhading,Thakre,7,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,3,3,30012,30012-7,30
Dhading,Benighat Rorang,2,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,27,27,30001,30001-2,30
Dhading,Benighat Rorang,1,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,6,6,30001,30001-1,30
Dhading,Benighat Rorang,2,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,4,4,30001,30001-2,30
Dhading,Benighat Rorang,2,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,4,4,30001,30001-2,30
Dhading,Benighat Rorang,2,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,4,4,30001,30001-2,30
Dhading,Benighat Rorang,1,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,4,4,30001,30001-1,30
Dhading,Benighat Rorang,1,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,4,4,30001,30001-1,30
Dhading,Benighat Rorang,1,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,3,3,30001,30001-1,30
Dhading,Benighat Rorang,2,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,2,2,30001,30001-2,30
Dhading,Galchhi,1,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,2,2,30004,30004-1,30
Dhading,Jwalamukhi,2,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,2,2,30006,30006-2,30
Dhading,Dhunibesi,9,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,2,2,30002,30002-9,30
Dhading,Thakre,8,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,2,2,30012,30012-8,30
Dhading,Thakre,6,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,2,2,30012,30012-6,30
Dhading,Thakre,7,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,2,2,30012,30012-7,30
Dhading,Thakre,4,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,8,8,30012,30012-4,30
Dhading,Thakre,5,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,8,8,30012,30012-5,30
Dhading,Thakre,5,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,7,7,30012,30012-5,30
Dhading,Thakre,4,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,6,6,30012,30012-4,30
Dhading,Thakre,4,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,6,6,30012,30012-4,30
Dhading,Thakre,5,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,6,6,30012,30012-5,30
Dhading,Thakre,5,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,6,6,30012,30012-5,30
Dhading,Thakre,4,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,6,6,30012,30012-4,30
Dhading,Thakre,4,ADRA,ECHO,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,4,4,30012,30012-4,30
Dhading,Jwalamukhi,4,DCA,DCA,"Water, Sanitation and Hygiene",Assessment - Water supply sources,,sites,2,,30006,30006-4,30
Dhading,Jwalamukhi,4,DCA,DCA,"Water, Sanitation and Hygiene",Assessment - Water supply sources,,sites,2,,30006,30006-4,30
Dhading,Benighat Rorang,7,AATWIN,UNICEF,Social Protection,Awareness - Programmes on Human Trafficking,,individuals,,,30001,30001-7,30
Dhading,Benighat Rorang,7,AATWIN,UNICEF,Social Protection,Awareness - Programmes on Human Trafficking,,individuals,,,30001,30001-7,30
Dhading,Benighat Rorang,8,AATWIN,UNICEF,Social Protection,Awareness - Programmes on Human Trafficking,,individuals,,,30001,30001-8,30
Dhading,Benighat Rorang,8,AATWIN,UNICEF,Social Protection,Awareness - Programmes on Human Trafficking,,individuals,,,30001,30001-8,30
Dhading,Benighat Rorang,8,AATWIN,UNICEF,Social Protection,Awareness - Programmes on Human Trafficking,,individuals,,,30001,30001-8,30
Dhading,Benighat Rorang,8,AATWIN,UNICEF,Social Protection,Awareness - Programmes on Human Trafficking,,individuals,,,30001,30001-8,30
Dhading,Benighat Rorang,6,AATWIN,UNICEF,Social Protection,Awareness - Programmes on Human Trafficking,,individuals,,,30001,30001-6,30
Dhading,Benighat Rorang,6,AATWIN,UNICEF,Social Protection,Awareness - Programmes on Human Trafficking,,individuals,,,30001,30001-6,30
