District,Municipality,Ward,Partner Organization,Implementing Partner,Funding Organisation,Sector,Activity Type,Name of the Infrastructure,Activity Detail,Curriculum (for Trainings),Activity Status,Unit (Indicator),Planned#,Reached#,GaNaPa_Code,GaPaN_Ward_Code
Arghakhanchi,Bhumekasthan Nagarpalika,"1,2,4,5,7,8,9",CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51001,#N/A
Arghakhanchi,Bhumekasthan Nagarpalika,"1,3,7,8,9,10",CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51001,#N/A
Arghakhanchi,Chhatradev Gaunpalika,"5,6,7,8",CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51002,#N/A
Arghakhanchi,Chhatradev Gaunpalika,"1,3,4,5,10",CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51002,#N/A
Arghakhanchi,Malarani Gaunpalika,"3,4,5,7",CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51003,#N/A
Arghakhanchi,Malarani Gaunpalika,"1,2,3,6,8",CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51003,#N/A
Arghakhanchi,Panini Gaunpalika,"6,7,8",CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51004,#N/A
Arghakhanchi,Panini Gaunpalika,"5,6,8",CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51004,#N/A
Arghakhanchi,Sandhikharka Nagarpalika,"1,3,7,8",CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51005,#N/A
Arghakhanchi,Sandhikharka Nagarpalika,"4,6,7",CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51005,#N/A
Arghakhanchi,Sitganga Nagarpalika,"3,4,5",CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51006,#N/A
Arghakhanchi,Bhumekasthan Nagarpalika,,CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,24,51001,#N/A
Arghakhanchi,Bhumekasthan Nagarpalika,,CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,26,51001,#N/A
Arghakhanchi,Sandhikharka Nagarpalika,,CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51005,#N/A
Arghakhanchi,Sandhikharka Nagarpalika,,CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51005,#N/A
Baglung,Baglung Nagarpalika,all,NRA,NRA,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,30,30,45002,#N/A
Baglung,Balkot Municipality,all,NRA,NRA,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,30,30,#N/A,#N/A
Baglung,Bareng Gaunpalika,all,NRA,CSIDB,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,50,50,45003,#N/A
Baglung,Dhorpatan Nagarpalika,all,NRA,CSIDB,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,51,51,45004,#N/A
Baglung,Galkot Nagarpalika,all,NRA,CSIDB,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,49,49,45005,#N/A
Baglung,Galkot Nagarpalika,all,NRA,NRA,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,30,30,45005,#N/A
Baglung,Jaimuni Nagarpalika,all,NRA,CSIDB,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,52,52,45006,#N/A
Baglung,Kanthekhola Gaunpalika,all,NRA,CSIDB,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,26,26,45007,#N/A
Baglung,Nisikhola Gaunpalika,all,NRA,CSIDB,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,28,28,45008,#N/A
Baglung,Taman Khola Gaunpalika,all,NRA,CSIDB,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,25,25,45009,#N/A
Baglung,Tara Khola Gaunpalika,all,NRA,CSIDB,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,25,25,45010,#N/A
Baglung,Badigad Gaunpalika,all,NRA,CSIDB,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,46,46,45001,#N/A
Baglung,Baglung Nagarpalika,3,VidhyaM,VidhyaM,NHCF,Education,Reconstruction - Classrooms,Vidhya Mandir Madhyamik Vidhyalaya,,,Ongoing,classrooms,4,4,45002,45002-3
Bhaktapur,Changunarayan Nagarpalika,8,DCA,,FSCN,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,,2-3 sessions,,Completed,individuals,200,208,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,DCA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 day mason training,DUDBC,Completed,individuals,20,20,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,,FSCN,Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness",,IEC materials on the basis of VCA findings,,Completed,individuals,500,500,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,4,DCA,,FSCN,"Water, Sanitation and Hygiene",Reconstruction - Water supply mechanisms,Khoriya WSS,Water supply scheme construction,,Completed,households,210,210,26002,26002-4
Bhaktapur,Changunarayan Nagarpalika,8,DCA,,FSCN,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,,ToT and community orientation on hygiene promotion,,Completed,households,200,200,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,,FSCN,Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness",,Simulation and mock drill,,Completed,individuals,200,200,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,,FSCN,Disaster Risk Management,Awareness - Enhancement of Risk information dissemination,,Public awareness on safe and resilient shelter construction,,Completed,households,150,150,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,5,DCA,,FSCN,"Water, Sanitation and Hygiene",Reconstruction - Water supply mechanisms,Pikhel WSS,Water supply scheme construction,,Completed,households,150,150,26002,26002-5
Bhaktapur,Changunarayan Nagarpalika,8,DCA,,FSCN,Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness",,Disaster simulation,,Completed,individuals,150,150,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,,FSCN,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,Conduction of VCA to develop SBDRMP ,,Completed,individuals,150,150,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,,FSCN,Disaster Risk Management,Capacity building - Search and Rescue,,development of evacuation plan at school level,,Completed,individuals,150,150,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,,FSCN,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,Stock piling of LSAR and first-aid kit at schools,,Completed,individuals,150,150,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,,FSCN,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,Operationalization of SBDRMP through small scale mitigations,,Completed,individuals,150,150,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,,FSCN,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,Establishment of school based DRR fund,,Completed,individuals,150,150,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,,FSCN,Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness",,Wall paintings at school,,Completed,individuals,120,120,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,,FSCN,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,Establishment of DRR and climate change learning centre,,Completed,individuals,120,120,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,,FSCN,Rural Housing and Community Infrastructure,Support - Production of IEC Materials,,Printing of IEC Materials,,Completed,copies,100,100,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,5,DCA,,FSCN,Rural Housing and Community Infrastructure,Support - Production of IEC Materials,,Printing of IEC Materials,,Completed,copies,100,100,26002,26002-5
Bhaktapur,Changunarayan Nagarpalika,4,DCA,,FSCN,Rural Housing and Community Infrastructure,Support - Production of IEC Materials,,Printing of IEC Materials,,Completed,copies,100,100,26002,26002-4
Bhaktapur,Changunarayan Nagarpalika,8,DCA,,FSCN,"Water, Sanitation and Hygiene",Reconstruction - Toilet,,Construction and material support to construct HHs toilet,,Completed,households,100,100,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,4,DCA,,FSCN,"Water, Sanitation and Hygiene",Reconstruction - Toilet,,Construction and material support to construct HHs toilet,,Completed,households,100,100,26002,26002-4
Bhaktapur,Changunarayan Nagarpalika,4,DCA,,FSCN,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,,ToT and community orientation on hygiene promotion,,Completed,households,100,100,26002,26002-4
Bhaktapur,Changunarayan Nagarpalika,8,DCA,,FSCN,Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness",,Mobilization of youth volunteers for IEC,,Completed,individuals,100,100,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,,FSCN,Employment and Livelihood,Capacity building - Entrepreneurship trainings orientations,,business skill training,Other (specify in Comments),Completed,individuals,80,80,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,,FSCN,Employment and Livelihood,Support - Financial support for livelihood activities,,livelihood grant for earthquake affected people through local financial institutions,,Completed,individuals,80,80,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,,FSCN,Employment and Livelihood,Capacity building - Skill development trainings,,Sectoral Agriculture and Livestock Training,,Completed,individuals,80,80,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,,FSCN,Disaster Risk Management,Awareness - Enhancement of Risk information dissemination,,Joint orientation on HVCA and SBDRMP,,Completed,households,60,60,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,,FSCN,"Water, Sanitation and Hygiene",Reconstruction - Water supply mechanisms,Simachaur WSS,Construct/Repair waterschemes,,Completed,households,55,55,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,,FSCN,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,,Response to water borne diseases,,Completed,households,50,50,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,5,DCA,,FSCN,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,,ToT and community orientation on hygiene promotion,,Completed,households,50,50,26002,26002-5
Bhaktapur,Changunarayan Nagarpalika,5,DCA,,FSCN,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,,Response to water borne diseases,,Completed,households,50,50,26002,26002-5
Bhaktapur,Changunarayan Nagarpalika,4,DCA,,FSCN,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,,Response to water borne diseases,,Completed,households,50,50,26002,26002-4
Bhaktapur,Changunarayan Nagarpalika,8,DCA,,FSCN,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,Extra curricular on DRR at schools,,Completed,individuals,50,50,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,5,DCA,,FSCN,Employment and Livelihood,Support - Financial support for livelihood activities,,livelihood grant for earthquake affected people through local financial institutions,,Completed,individuals,50,50,26002,26002-5
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,DCA,Disaster Risk Management,Awareness - Enhancement of Risk information dissemination,,Orientation to communities on HVCA,,Completed,households,30,30,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,DCA,Disaster Risk Management,Awareness - Enhancement of Risk information dissemination,,Orientation on LDRMP to communities,,Completed,households,30,30,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,DCA,Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness",,"Orientation to SMc and teachers, child club",,Completed,individuals,30,30,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,DCA,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,Training on firstaid at school level,,Completed,individuals,20,20,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,DCA,Disaster Risk Management,Capacity building - Search and Rescue,,Training on LSAR at school level,,Completed,individuals,20,20,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,5,DCA,FSCN,DCA,Employment and Livelihood,Capacity building - Skill development trainings,,Sectoral Agriculture and Livestock Training,,Completed,individuals,20,20,26002,26002-5
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,DCA,Disaster Risk Management,Capacity building - Local institutions for DRM,,Networking with stakeholders,,Completed,institutions,20,20,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,DCA,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,"Training on HVCA and School based DRRplan to SMC, teachers and chil club members",,Completed,individuals,15,15,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,DCA,Disaster Risk Management,Capacity building - Emergency Operation Centers,,Training on first aid - 3days,Other (specify in Comments),Completed,institutions,8,8,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,DCA,Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness",,Formation of task force(first aid),,Completed,individuals,6,6,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,DCA,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,Training to community on HVCA- master ToT,Other (specify in Comments),Completed,individuals,6,6,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,DCA,"Water, Sanitation and Hygiene",Capacity building - WASH related trainings,,Pre and Post construction orientation to WSUC,,Completed,individuals,2,2,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,5,DCA,FSCN,DCA,"Water, Sanitation and Hygiene",Capacity building - WASH related trainings,,Pre and Post construction orientation to WSUC,,Completed,individuals,2,2,26002,26002-5
Bhaktapur,Changunarayan Nagarpalika,4,DCA,FSCN,DCA,"Water, Sanitation and Hygiene",Capacity building - WASH related trainings,,Pre and Post construction orientation to WSUC,,Completed,individuals,2,2,26002,26002-4
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,DCA,"Water, Sanitation and Hygiene",Assessment - Water supply sources,Water Supply Scheme,Water Quality Test,,Completed,sites,2,2,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,5,DCA,FSCN,DCA,"Water, Sanitation and Hygiene",Assessment - Water supply sources,Water Supply Scheme,Water Quality Test,,Completed,sites,2,2,26002,26002-5
Bhaktapur,Changunarayan Nagarpalika,4,DCA,FSCN,DCA,"Water, Sanitation and Hygiene",Assessment - Water supply sources,Water Supply Scheme,Water Quality Test,,Completed,sites,2,2,26002,26002-4
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,DCA,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Model House,Model House,,Completed,constructions,1,1,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,DCA,"Water, Sanitation and Hygiene",Reconstruction - Toilet,Mahendra Gram School,School toilet construction,,Completed,households,1,1,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,DCA,Rural Housing and Community Infrastructure,Support - Transportation top-up for remote areas,,Materials Transportation,,Completed,households,1,1,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,5,DCA,FSCN,DCA,Rural Housing and Community Infrastructure,Support - Transportation top-up for remote areas,,Materials Transportation,,Completed,households,1,1,26002,26002-5
Bhaktapur,Changunarayan Nagarpalika,5,DCA,FSCN,DCA,"Water, Sanitation and Hygiene",Reconstruction - Toilet,,School toilet construction,,Completed,households,1,1,26002,26002-5
Bhaktapur,Changunarayan Nagarpalika,5,DCA,FSCN,DCA,Rural Housing and Community Infrastructure,Support - Transportation top-up for remote areas,,Materials Transportation,,Completed,households,1,1,26002,26002-5
Bhaktapur,Changunarayan Nagarpalika,4,DCA,FSCN,DCA,"Water, Sanitation and Hygiene",Reconstruction - Toilet,School toilet,School toilet construction,,Completed,households,1,1,26002,26002-4
Bhaktapur,Changunarayan Nagarpalika,4,DCA,FSCN,DCA,Rural Housing and Community Infrastructure,Support - Transportation top-up for remote areas,,Materials Transportation,,Completed,households,1,1,26002,26002-4
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,DCA,Education,Support - Material support to Schools,Balmikeshwor School,Stationary and tools support to government schools,,Completed,units,1,1,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,DCA,Education,Support - Material support to Schools,Balmikeshwor School,Recreational activities in schools,,Completed,units,1,1,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,DCA,Education,Support - Material support to Schools,Balmikeshwor School,Child club formation support and mobilisation,,Completed,units,1,1,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,DCA,Disaster Risk Management,Support - Integration of LDRMP and CDRMP into local development plans,,Review of existing LDRMP,,Completed,wards,1,1,26002,26002-8
Bhaktapur,Bhaktapur Nagarpalika,5,GON,NRA,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days mason training,DUDBC,Completed,individuals,27,27,26001,26001-5
Bhaktapur,Changunarayan Nagarpalika,5,GON,,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (7 days DUDBC, rural or urban)",,,Completed,individuals,24,24,26002,26002-5
Bhaktapur,Changunarayan Nagarpalika,5,GON,,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (7 days DUDBC, rural or urban)",,,Completed,individuals,24,24,26002,26002-5
Bhaktapur,Changunarayan Nagarpalika,5,GON,,GON - DLPIU,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (7 days DUDBC, rural or urban)",,,Completed,individuals,30,30,26002,26002-5
Bhaktapur,Changunarayan Nagarpalika,5,GON,,GON - DLPIU,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (7 days DUDBC, rural or urban)",,,Completed,individuals,30,30,26002,26002-5
Bhaktapur,Changunarayan Nagarpalika,4,GON,NRA,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days mason training,DUDBC,Completed,individuals,33,33,26002,26002-4
Bhaktapur,Changunarayan Nagarpalika,4,GON,NRA,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days mason training,DUDBC,Completed,individuals,25,25,26002,26002-4
Bhaktapur,Changunarayan Nagarpalika,7,GON,NRA,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,25,25,26002,26002-7
Bhaktapur,Changunarayan Nagarpalika,7,GON,NRA,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,25,25,26002,26002-7
Bhaktapur,Changunarayan Nagarpalika,7,GON,NRA,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,25,25,26002,26002-7
Bhaktapur,Changunarayan Nagarpalika,7,GON,NRA,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,25,25,26002,26002-7
Bhaktapur,Changunarayan Nagarpalika,7,GON,NRA,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,25,25,26002,26002-7
Bhaktapur,Changunarayan Nagarpalika,8,GON,NRA,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,25,25,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,GON,NRA,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,25,25,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,GON,NRA,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,25,25,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,GON,NRA,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,25,25,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,7,GON,NRA,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,25,25,26002,26002-7
Bhaktapur,Changunarayan Nagarpalika,7,GON,NRA,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,25,25,26002,26002-7
Bhaktapur,Changunarayan Nagarpalika,7,GON,NRA,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,25,25,26002,26002-7
Bhaktapur,Madhyapur Thimi Nagarpalika,3,GON,NRA,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days mason training,DUDBC,Completed,individuals,26,26,26003,26003-3
Bhaktapur,Madhyapur Thimi Nagarpalika,5,GON,NRA,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,25,25,26003,26003-5
Bhaktapur,Madhyapur Thimi Nagarpalika,5,GON,NRA,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,25,25,26003,26003-5
Bhaktapur,Madhyapur Thimi Nagarpalika,5,GON,NRA,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,25,25,26003,26003-5
Bhaktapur,Madhyapur Thimi Nagarpalika,5,GON,NRA,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,25,25,26003,26003-5
Bhaktapur,Suryabinayak Nagarpalika,5,GON,NRA,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,25,25,26004,26004-5
Bhaktapur,Suryabinayak Nagarpalika,5,GON,NRA,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,25,25,26004,26004-5
Bhaktapur,Suryabinayak Nagarpalika,5,GON,NRA,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,25,25,26004,26004-5
Bhaktapur,Suryabinayak Nagarpalika,5,GON,NRA,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,25,25,26004,26004-5
Bhaktapur,Suryabinayak Nagarpalika,5,GON,,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,individuals,10,10,26004,26004-5
Bhaktapur,Madhyapur Thimi Nagarpalika,6,ISAP,ISAP,PWJ,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (7 days DUDBC, rural or urban)",,,Completed,individuals,30,30,26003,26003-6
Bhaktapur,Changunarayan Nagarpalika,8,OXFAM-GB,ENPHO,OXFAM-GB,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (other curriculums, specify in Activity Detail)","short term (15days), It has been tailored to meet the needs of low skilled labors to undertake 7 days masons training",,Completed,individuals,2,2,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,6,OXFAM-GB,ENPHO,OXFAM-GB,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (other curriculums, specify in Activity Detail)","short term (15days), It has been tailored to meet the needs of low skilled labors to undertake 7 days masons training",,Completed,individuals,2,2,26002,26002-6
Bhaktapur,Changunarayan Nagarpalika,9,OXFAM-GB,ENPHO,OXFAM-GB,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (other curriculums, specify in Activity Detail)","short term (15days), It has been tailored to meet the needs of low skilled labors to undertake 7 days masons training",,Completed,individuals,1,1,26002,26002-9
Bhaktapur,Changunarayan Nagarpalika,8,OXFAM-GB,ENPHO,OXFAM-GB,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (other curriculums, specify in Activity Detail)","short term (15days), It has been tailored to meet the needs of low skilled labors to undertake 7 days masons training",,Completed,individuals,1,1,26002,26002-8
Bhaktapur,Changunarayan Nagarpalika,7,OXFAM-GB,ENPHO,OXFAM-GB,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (other curriculums, specify in Activity Detail)","short term (15days), It has been tailored to meet the needs of low skilled labors to undertake 7 days masons training",,Completed,individuals,1,1,26002,26002-7
Bhaktapur,Changunarayan Nagarpalika,6,OXFAM-GB,ENPHO,OXFAM-GB,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (other curriculums, specify in Activity Detail)","short term (15days), It has been tailored to meet the needs of low skilled labors to undertake 7 days masons training",,Completed,individuals,1,2,26002,26002-6
Bhaktapur,Changunarayan Nagarpalika,7,OXFAM-GB,,OXFAM-GB,Rural Housing and Community Infrastructure,Support - Helpdesk/technical support center,Helpdesk/technical support center,Information center at municipality office,,Completed,households,200,200,26002,26002-7
Bhaktapur,Changunarayan Nagarpalika,9,OXFAM-GB,,OXFAM-GB,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,1 session,2-3 Hours session,,Completed,individuals,30,20,26002,26002-9
Bhaktapur,Changunarayan Nagarpalika,7,OXFAM-GB,,OXFAM-GB,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,1 session,2-3 Hours session,,Completed,individuals,30,35,26002,26002-7
Bhaktapur,Changunarayan Nagarpalika,6,OXFAM-GB,,OXFAM-GB,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,1 session,2-3 Hours session,,Completed,individuals,30,46,26002,26002-6
Bhaktapur,Changunarayan Nagarpalika,6,OXFAM-GB,,OXFAM-GB,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,1 session,2-3 Hours session,,Completed,individuals,30,34,26002,26002-6
Bhaktapur,Changunarayan Nagarpalika,6,OXFAM-GB,,OXFAM-GB,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,1 session,2-3 Hours session,,Completed,individuals,30,72,26002,26002-6
Bhaktapur,Changunarayan Nagarpalika,6,OXFAM-GB,,OXFAM-GB,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,1 session,2-3 Hours session,,Completed,individuals,30,43,26002,26002-6
Bhaktapur,Changunarayan Nagarpalika,6,OXFAM-GB,,OXFAM-GB,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,1 session,2-3 Hours session,,Completed,individuals,30,36,26002,26002-6
Bhaktapur,Changunarayan Nagarpalika,7,OXFAM-GB,ENPHO,OXFAM-GB,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (7 days DUDBC, rural or urban)","Tathali, Chagunarayan",,Completed,individuals,22,22,26002,26002-7
