District,VDC (ward) to Palika,VDC (ward) to Palika - ward,Partner Organization ,Project Title,"Implementing
Partner","Funding
Organisation",Sector,Activity Type,Name of the Infrastructure,Activity Detail,Curriculum (for Trainings),Activity Status,Unit (Indicator),"Physical Target -
Planned","Physical Target -
Reached",GaNaPa Ward Number ,GaNaPa_Code,GaPaN_Ward_Code
Bhaktapur,Changunarayan,3,NRCS,Earthquake Response Operation,,NRCS,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,Sanitation in Schools education ( SLTS ),School Sanitation Campaign,,Planned,households,1150,1055,3,26002,26002-3
Bhaktapur,Changunarayan,5,NRCS,Earthquake Response Operation,,NRCS,Health,Support - Mental Health/Psychosocial Counseling,,PSS rollout by trained volunteers,,Completed,individuals,700,700,5,26002,26002-5
Bhaktapur,Changunarayan,4,NRCS,Earthquake Response Operation,,NRCS,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,Community Sanitation Campaign ( CLTS ),Community Sanitation Campaign,,Ongoing,households,650,826,4,26002,26002-4
Bhaktapur,Changunarayan,7,NRCS,Earthquake Response Operation,,NRCS,Health,Support - Mental Health/Psychosocial Counseling,,PSS rollout by trained volunteers,,Completed,households,600,504,7,26002,26002-7
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness",,IEC materials on the basis of VCA findings,,,households,500,,8,26002,26002-8
Bhaktapur,Changunarayan,9,NRCS,Earthquake Response Operation,,NRCS,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,Community Sanitation Campaign ( CLTS ),Community Sanitation Campaign,,Ongoing,households,500,532,9,26002,26002-9
Bhaktapur,Changunarayan,6,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,,Support for seeds and tools ,,Completed,households,473,473,6,26002,26002-6
Bhaktapur,Changunarayan,5,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,,Support for seeds and tools ,,Completed,households,459,459,5,26002,26002-5
Bhaktapur,Changunarayan,4,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,,Support for seeds and tools ,,Completed,households,431,431,4,26002,26002-4
Bhaktapur,Suryabinayak,7,NRCS,Earthquake Response Operation,,NRCS,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,Community Sanitation Campaign ( CLTS ),Community Sanitation Campaign,,Planned,households,400,87,7,26004,26004-7
Bhaktapur,Bhaktapur,2,NRCS,Earthquake Response Operation,,NRCS,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days mason training,DUDBC,Completed,households,360,326,2,26001,26001-2
Bhaktapur,Changunarayan,6,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,,Support for seeds and tools ,,Completed,households,337,337,6,26002,26002-6
Bhaktapur,Changunarayan,6,NRCS,Earthquake Response Operation,,NRCS,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,,Support for seeds and tools ,,Completed,households,271,271,6,26002,26002-6
Bhaktapur,Changunarayan,9,NRCS,Earthquake Response Operation,,NRCS,Employment and Livelihood,Support - Temporary employment services in each district,,Debris clerance by CFW,,Completed,households,230,264,9,26002,26002-9
Bhaktapur,Changunarayan,4,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,"Water, Sanitation and Hygiene",Reconstruction - Water supply mechanisms,Khoriya WSS,Water supply scheme construction,,,households,210,,4,26002,26002-4
Bhaktapur,Changunarayan,7,OXFAM-GB,,,OXFAM-GB,Rural Housing and Community Infrastructure,Support - Helpdesk/technical support center,Helpdesk/technical support center,Information center at municipality office,,Completed,households,200,200,7,26002,26002-7
Bhaktapur,Changunarayan,8,DCA,"Nepal Earthquake Recovery, Reconstruction and Resilience",,FSCN,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,,ToT and community orientation on hygiene promotion,,,households,200,,8,26002,26002-8
