District,Municipality,Ward,Partner Organization,Funding Organisation,Sector,Activity Type,Activity Status,Unit (Indicator),Planned#,Reached#,GaNaPa_Code,District_code,GaPaN_Ward_Code
Dhading,Gajuri Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30003,12,30003-3
Dhading,Gajuri Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30003,12,30003-3
Dhading,Gajuri Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30003,12,30003-3
Dhading,Gajuri Gaunpalika,2,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30003,12,30003-2
Dhading,Gajuri Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30003,12,30003-3
Dhading,Gajuri Gaunpalika,6,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30003,12,30003-6
Dhading,Gajuri Gaunpalika,5,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30003,12,30003-5
Dhading,Gajuri Gaunpalika,6,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30003,12,30003-6
Dhading,Gajuri Gaunpalika,5,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30003,12,30003-5
Dhading,Gajuri Gaunpalika,5,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30003,12,30003-5
Dhading,Gajuri Gaunpalika,6,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30003,12,30003-6
Dhading,Gajuri Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30003,12,30003-4
Dhading,Gajuri Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30003,12,30003-4
Dhading,Gajuri Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30003,12,30003-4
Dhading,Galchi Gaunpalika,2,NSET,USAID,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Ongoing,households,339,218,30004,12,30004-2
Dhading,Galchi Gaunpalika,2,NSET,USAID,Rural Housing and Community Infrastructure,Support - Helpdesk/technical support center,Ongoing,households,339,0,30004,12,30004-2
Dhading,Galchi Gaunpalika,1,NSET,USAID,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Ongoing,households,324,150,30004,12,30004-1
Dhading,Galchi Gaunpalika,1,NSET,USAID,Rural Housing and Community Infrastructure,Support - Helpdesk/technical support center,Ongoing,households,324,0,30004,12,30004-1
Dhading,Galchi Gaunpalika,2,NSET,USAID,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Ongoing,households,305,211,30004,12,30004-2
Dhading,Galchi Gaunpalika,2,NSET,USAID,Rural Housing and Community Infrastructure,Support - Helpdesk/technical support center,Ongoing,households,305,35,30004,12,30004-2
Dhading,Galchi Gaunpalika,1,NSET,USAID,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Ongoing,households,282,79,30004,12,30004-1
Dhading,Galchi Gaunpalika,1,NSET,USAID,Rural Housing and Community Infrastructure,Support - Helpdesk/technical support center,Ongoing,households,282,0,30004,12,30004-1
Dhading,Galchi Gaunpalika,1,NSET,USAID,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Ongoing,households,232,130,30004,12,30004-1
Dhading,Galchi Gaunpalika,1,NSET,USAID,Rural Housing and Community Infrastructure,Support - Helpdesk/technical support center,Ongoing,households,232,0,30004,12,30004-1
Dhading,Galchi Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Ongoing,households,225,56,30004,12,30004-3
Dhading,Galchi Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Support - Helpdesk/technical support center,Ongoing,households,225,0,30004,12,30004-3
Dhading,Galchi Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Ongoing,households,174,98,30004,12,30004-3
Dhading,Galchi Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Support - Helpdesk/technical support center,Ongoing,households,174,0,30004,12,30004-3
Dhading,Galchi Gaunpalika,2,NSET,USAID,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Ongoing,households,161,115,30004,12,30004-2
Dhading,Galchi Gaunpalika,2,NSET,USAID,Rural Housing and Community Infrastructure,Support - Helpdesk/technical support center,Ongoing,households,161,15,30004,12,30004-2
Dhading,Galchi Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Ongoing,households,126,70,30004,12,30004-3
Dhading,Galchi Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Support - Helpdesk/technical support center,Ongoing,households,126,0,30004,12,30004-3
Dhading,Galchi Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30004,12,30004-4
Dhading,Galchi Gaunpalika,5,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30004,12,30004-5
Dhading,Galchi Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30004,12,30004-4
Dhading,Galchi Gaunpalika,5,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30004,12,30004-5
Dhading,Galchi Gaunpalika,5,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30004,12,30004-5
Dhading,Galchi Gaunpalika,5,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30004,12,30004-5
Dhading,Galchi Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30004,12,30004-4
Dhading,Galchi Gaunpalika,7,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30004,12,30004-7
Dhading,Galchi Gaunpalika,6,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30004,12,30004-6
Dhading,Galchi Gaunpalika,8,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30004,12,30004-8
Dhading,Galchi Gaunpalika,8,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30004,12,30004-8
Dhading,Galchi Gaunpalika,8,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30004,12,30004-8
Dhading,Galchi Gaunpalika,8,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30004,12,30004-8
Dhading,Galchi Gaunpalika,8,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30004,12,30004-8
Dhading,Galchi Gaunpalika,1,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Completed,constructions,1,2,30004,12,30004-1
Dhading,Galchi Gaunpalika,1,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30004,12,30004-1
Dhading,Galchi Gaunpalika,1,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Completed,constructions,1,1,30004,12,30004-1
Dhading,Galchi Gaunpalika,2,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30004,12,30004-2
Dhading,Galchi Gaunpalika,2,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30004,12,30004-2
Dhading,Galchi Gaunpalika,2,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Completed,constructions,1,1,30004,12,30004-2
Dhading,Galchi Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30004,12,30004-3
Dhading,Galchi Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30004,12,30004-3
Dhading,Galchi Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Completed,constructions,1,1,30004,12,30004-3
Dhading,Gangajamuna Gaunpalika,5,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-5
Dhading,Gangajamuna Gaunpalika,5,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-5
Dhading,Gangajamuna Gaunpalika,5,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-5
Dhading,Gangajamuna Gaunpalika,5,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-5
Dhading,Gangajamuna Gaunpalika,5,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-5
Dhading,Gangajamuna Gaunpalika,5,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-5
Dhading,Gangajamuna Gaunpalika,5,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-5
Dhading,Gangajamuna Gaunpalika,5,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-5
Dhading,Gangajamuna Gaunpalika,5,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-5
Dhading,Gangajamuna Gaunpalika,2,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-2
Dhading,Gangajamuna Gaunpalika,2,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-2
Dhading,Gangajamuna Gaunpalika,2,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-2
Dhading,Gangajamuna Gaunpalika,1,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-1
Dhading,Gangajamuna Gaunpalika,1,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-1
Dhading,Gangajamuna Gaunpalika,2,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-2
Dhading,Gangajamuna Gaunpalika,1,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-1
Dhading,Gangajamuna Gaunpalika,2,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-2
Dhading,Gangajamuna Gaunpalika,1,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-1
Dhading,Gangajamuna Gaunpalika,6,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-6
Dhading,Gangajamuna Gaunpalika,6,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-6
Dhading,Gangajamuna Gaunpalika,6,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-6
Dhading,Gangajamuna Gaunpalika,6,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-6
Dhading,Gangajamuna Gaunpalika,6,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-6
Dhading,Gangajamuna Gaunpalika,6,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-6
Dhading,Gangajamuna Gaunpalika,6,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-6
Dhading,Gangajamuna Gaunpalika,6,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-6
Dhading,Gangajamuna Gaunpalika,6,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-6
Dhading,Gangajamuna Gaunpalika,7,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-7
Dhading,Gangajamuna Gaunpalika,7,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-7
Dhading,Gangajamuna Gaunpalika,7,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-7
Dhading,Gangajamuna Gaunpalika,7,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-7
Dhading,Gangajamuna Gaunpalika,7,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-7
Dhading,Gangajamuna Gaunpalika,7,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-7
Dhading,Gangajamuna Gaunpalika,7,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-7
Dhading,Gangajamuna Gaunpalika,7,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-7
Dhading,Gangajamuna Gaunpalika,7,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-7
Dhading,Gangajamuna Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-3
Dhading,Gangajamuna Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-3
Dhading,Gangajamuna Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-3
Dhading,Gangajamuna Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-3
Dhading,Gangajamuna Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-3
Dhading,Gangajamuna Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-4
Dhading,Gangajamuna Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-4
Dhading,Gangajamuna Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-4
Dhading,Gangajamuna Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30005,12,30005-4
Dhading,Jwalamukhi Gaunpalika,7,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-7
Dhading,Jwalamukhi Gaunpalika,7,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-7
Dhading,Jwalamukhi Gaunpalika,7,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-7
Dhading,Jwalamukhi Gaunpalika,7,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-7
Dhading,Jwalamukhi Gaunpalika,6,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-6
Dhading,Jwalamukhi Gaunpalika,6,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-6
Dhading,Jwalamukhi Gaunpalika,6,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-6
Dhading,Jwalamukhi Gaunpalika,6,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-6
Dhading,Jwalamukhi Gaunpalika,6,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-6
Dhading,Jwalamukhi Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-4
Dhading,Jwalamukhi Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-4
Dhading,Jwalamukhi Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-4
Dhading,Jwalamukhi Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-4
Dhading,Jwalamukhi Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-4
Dhading,Jwalamukhi Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-4
Dhading,Jwalamukhi Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-4
Dhading,Jwalamukhi Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-4
Dhading,Jwalamukhi Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-4
Dhading,Jwalamukhi Gaunpalika,5,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-5
Dhading,Jwalamukhi Gaunpalika,5,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-5
Dhading,Jwalamukhi Gaunpalika,5,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-5
Dhading,Jwalamukhi Gaunpalika,5,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-5
Dhading,Jwalamukhi Gaunpalika,5,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-5
Dhading,Jwalamukhi Gaunpalika,5,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-5
Dhading,Jwalamukhi Gaunpalika,5,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-5
Dhading,Jwalamukhi Gaunpalika,5,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-5
Dhading,Jwalamukhi Gaunpalika,5,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-5
Dhading,Jwalamukhi Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-3
Dhading,Jwalamukhi Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-3
Dhading,Jwalamukhi Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-3
Dhading,Jwalamukhi Gaunpalika,2,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-2
Dhading,Jwalamukhi Gaunpalika,2,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-2
Dhading,Jwalamukhi Gaunpalika,2,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-2
Dhading,Jwalamukhi Gaunpalika,2,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-2
Dhading,Jwalamukhi Gaunpalika,1,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-1
Dhading,Jwalamukhi Gaunpalika,1,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30006,12,30006-1
Dhading,Khaniyabash Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Ongoing,households,242,103,30007,12,30007-4
Dhading,Khaniyabash Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Support - Helpdesk/technical support center,Ongoing,households,242,1,30007,12,30007-4
Dhading,Khaniyabash Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Ongoing,households,204,94,30007,12,30007-3
Dhading,Khaniyabash Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Support - Helpdesk/technical support center,Ongoing,households,204,4,30007,12,30007-3
Dhading,Khaniyabash Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Ongoing,households,174,116,30007,12,30007-4
Dhading,Khaniyabash Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Ongoing,households,174,82,30007,12,30007-3
Dhading,Khaniyabash Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Support - Helpdesk/technical support center,Ongoing,households,174,62,30007,12,30007-4
Dhading,Khaniyabash Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Support - Helpdesk/technical support center,Ongoing,households,174,7,30007,12,30007-3
Dhading,Khaniyabash Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Ongoing,households,147,61,30007,12,30007-3
Dhading,Khaniyabash Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Support - Helpdesk/technical support center,Ongoing,households,147,7,30007,12,30007-3
Dhading,Khaniyabash Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Ongoing,households,135,54,30007,12,30007-4
Dhading,Khaniyabash Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Support - Helpdesk/technical support center,Ongoing,households,135,2,30007,12,30007-4
Dhading,Khaniyabash Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Ongoing,households,133,57,30007,12,30007-3
Dhading,Khaniyabash Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Support - Helpdesk/technical support center,Ongoing,households,133,5,30007,12,30007-3
Dhading,Khaniyabash Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Ongoing,households,111,40,30007,12,30007-3
Dhading,Khaniyabash Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Ongoing,households,111,64,30007,12,30007-4
Dhading,Khaniyabash Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Support - Helpdesk/technical support center,Ongoing,households,111,2,30007,12,30007-3
Dhading,Khaniyabash Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Support - Helpdesk/technical support center,Ongoing,households,111,2,30007,12,30007-4
Dhading,Khaniyabash Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Completed,constructions,1,1,30007,12,30007-4
Dhading,Khaniyabash Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Completed,constructions,1,1,30007,12,30007-3
Dhading,Khaniyabash Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Completed,constructions,1,1,30007,12,30007-3
Dhading,Khaniyabash Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Completed,constructions,1,1,30007,12,30007-3
Dhading,Khaniyabash Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Completed,constructions,1,1,30007,12,30007-3
Dhading,Khaniyabash Gaunpalika,3,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Completed,constructions,1,1,30007,12,30007-3
Dhading,Khaniyabash Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Completed,constructions,1,1,30007,12,30007-4
Dhading,Khaniyabash Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Completed,constructions,1,1,30007,12,30007-4
Dhading,Khaniyabash Gaunpalika,4,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Completed,constructions,1,2,30007,12,30007-4
Dhading,Khaniyabash Gaunpalika,1,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30007,12,30007-1
Dhading,Khaniyabash Gaunpalika,1,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30007,12,30007-1
Dhading,Khaniyabash Gaunpalika,2,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30007,12,30007-2
Dhading,Khaniyabash Gaunpalika,2,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30007,12,30007-2
Dhading,Khaniyabash Gaunpalika,2,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30007,12,30007-2
Dhading,Khaniyabash Gaunpalika,2,NSET,USAID,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,Ongoing,constructions,1,0,30007,12,30007-2
