District,Municipality,Ward,Partner Organization,Funding Organisation,Sector,Activity Type,Activity Status,Unit (Indicator),Planned#,Reached#,GaNaPa_Code,District_code,GaPaN_Ward_Code
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,Rural Housing and Community Infrastructure,Support - Production of IEC Materials,Completed,copies,100,100,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,5,DCA,FSCN,Rural Housing and Community Infrastructure,Support - Production of IEC Materials,Completed,copies,100,100,26002,15,26002-5
Bhaktapur,Changunarayan Nagarpalika,4,DCA,FSCN,Rural Housing and Community Infrastructure,Support - Production of IEC Materials,Completed,copies,100,100,26002,15,26002-4
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,"Water, Sanitation and Hygiene",Reconstruction - Toilet,Completed,households,100,100,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,4,DCA,FSCN,"Water, Sanitation and Hygiene",Reconstruction - Toilet,Completed,households,100,100,26002,15,26002-4
Bhaktapur,Changunarayan Nagarpalika,4,DCA,FSCN,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,Completed,households,100,100,26002,15,26002-4
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness",Completed,individuals,100,100,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,Employment and Livelihood,Capacity building - Entrepreneurship trainings orientations,Completed,individuals,80,80,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,Employment and Livelihood,Support - Financial support for livelihood activities,Completed,individuals,80,80,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,80,80,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,Disaster Risk Management,Awareness - Enhancement of Risk information dissemination,Completed,households,60,60,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,"Water, Sanitation and Hygiene",Reconstruction - Water supply mechanisms,Completed,households,55,55,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,Completed,households,50,50,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,5,DCA,FSCN,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,Completed,households,50,50,26002,15,26002-5
Bhaktapur,Changunarayan Nagarpalika,5,DCA,FSCN,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,Completed,households,50,50,26002,15,26002-5
Bhaktapur,Changunarayan Nagarpalika,4,DCA,FSCN,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,Completed,households,50,50,26002,15,26002-4
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,Completed,individuals,50,50,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,5,DCA,FSCN,Employment and Livelihood,Support - Financial support for livelihood activities,Completed,individuals,50,50,26002,15,26002-5
Bhaktapur,Changunarayan Nagarpalika,9,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,Completed,individuals,30,20,26002,15,26002-9
Bhaktapur,Changunarayan Nagarpalika,7,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,Completed,individuals,30,35,26002,15,26002-7
Bhaktapur,Changunarayan Nagarpalika,6,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,Completed,individuals,30,46,26002,15,26002-6
Bhaktapur,Changunarayan Nagarpalika,6,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,Completed,individuals,30,34,26002,15,26002-6
Bhaktapur,Changunarayan Nagarpalika,6,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,Completed,individuals,30,72,26002,15,26002-6
Bhaktapur,Changunarayan Nagarpalika,6,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,Completed,individuals,30,43,26002,15,26002-6
Bhaktapur,Changunarayan Nagarpalika,6,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,Completed,individuals,30,36,26002,15,26002-6
Bhaktapur,Changunarayan Nagarpalika,5,GON,GON - DLPIU,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,30,30,26002,15,26002-5
Bhaktapur,Changunarayan Nagarpalika,5,GON,GON - DLPIU,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,30,30,26002,15,26002-5
Bhaktapur,Changunarayan Nagarpalika,8,DCA,DCA,Disaster Risk Management,Awareness - Enhancement of Risk information dissemination,Completed,households,30,30,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,DCA,Disaster Risk Management,Awareness - Enhancement of Risk information dissemination,Completed,households,30,30,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,DCA,Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness",Completed,individuals,30,30,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,7,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,22,22,26002,15,26002-7
Bhaktapur,Changunarayan Nagarpalika,8,DCA,DCA,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,individuals,20,20,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,DCA,Disaster Risk Management,Capacity building - Search and Rescue,,individuals,20,20,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,DCA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,20,20,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,5,DCA,DCA,Employment and Livelihood,Capacity building - Skill development trainings,,individuals,20,20,26002,15,26002-5
Bhaktapur,Changunarayan Nagarpalika,8,DCA,DCA,Disaster Risk Management,Capacity building - Local institutions for DRM,,institutions,20,20,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,7,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,18,18,26002,15,26002-7
Bhaktapur,Changunarayan Nagarpalika,9,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Completed,households,15,9,26002,15,26002-9
Bhaktapur,Changunarayan Nagarpalika,9,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Completed,households,15,16,26002,15,26002-9
Bhaktapur,Changunarayan Nagarpalika,8,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Completed,households,15,16,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Completed,households,15,14,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Completed,households,15,16,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,7,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Completed,households,15,21,26002,15,26002-7
Bhaktapur,Changunarayan Nagarpalika,7,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Completed,households,15,10,26002,15,26002-7
Bhaktapur,Changunarayan Nagarpalika,6,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,Completed,households,15,20,26002,15,26002-6
Bhaktapur,Changunarayan Nagarpalika,8,DCA,DCA,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,individuals,15,15,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,DCA,Disaster Risk Management,Capacity building - Emergency Operation Centers,,institutions,8,8,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,DCA,Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness",,individuals,6,6,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,DCA,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,individuals,6,6,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,9,SCI,SCI,Education,Reconstruction - Classrooms,,classrooms,3,3,26002,15,26002-9
Bhaktapur,Changunarayan Nagarpalika,9,SCI,SCI,Education,Reconstruction - Classrooms,,classrooms,3,3,26002,15,26002-9
Bhaktapur,Changunarayan Nagarpalika,9,OXFAM-GB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,2,2,26002,15,26002-9
Bhaktapur,Changunarayan Nagarpalika,9,OXFAM-GB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,2,3,26002,15,26002-9
Bhaktapur,Changunarayan Nagarpalika,9,OXFAM-GB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,2,3,26002,15,26002-9
Bhaktapur,Changunarayan Nagarpalika,8,OXFAM-GB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,2,2,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,OXFAM-GB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,2,3,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,OXFAM-GB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,2,2,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,OXFAM-GB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,2,3,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,7,OXFAM-GB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,2,2,26002,15,26002-7
Bhaktapur,Changunarayan Nagarpalika,7,OXFAM-GB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,2,2,26002,15,26002-7
Bhaktapur,Changunarayan Nagarpalika,7,OXFAM-GB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,2,2,26002,15,26002-7
Bhaktapur,Changunarayan Nagarpalika,8,DCA,DCA,"Water, Sanitation and Hygiene",Capacity building - WASH related trainings,,individuals,2,2,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,5,DCA,DCA,"Water, Sanitation and Hygiene",Capacity building - WASH related trainings,,individuals,2,2,26002,15,26002-5
Bhaktapur,Changunarayan Nagarpalika,4,DCA,DCA,"Water, Sanitation and Hygiene",Capacity building - WASH related trainings,,individuals,2,2,26002,15,26002-4
Bhaktapur,Changunarayan Nagarpalika,8,DCA,DCA,"Water, Sanitation and Hygiene",Assessment - Water supply sources,,sites,2,2,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,5,DCA,DCA,"Water, Sanitation and Hygiene",Assessment - Water supply sources,,sites,2,2,26002,15,26002-5
Bhaktapur,Changunarayan Nagarpalika,4,DCA,DCA,"Water, Sanitation and Hygiene",Assessment - Water supply sources,,sites,2,2,26002,15,26002-4
